id,type,question,option1,option2,option3,correct_option,explanation_es,question_es,tags,difficulty,language_learning,phonetic,requires_audio,audio_url,created_at,updated_at,deleted_at
d3e5c38a-89ff-4dcb-886c-6120a1c7a2cf,pronunciation,Adventure,Adventure,,,1,Aventura,,"{vocabulary,rpg}",beginner,english,/ədˈventʃər/,true,,2026-05-22 03:33:12.574945+00,2026-05-22 03:33:12.574945+00,
e765de6b-3144-472d-825d-fcf7d9f3e0c8,pronunciation,Odyssey,Odyssey,,,1,"Odisea, un viaje largo y lleno de aventuras",,"{vocabulary,rpg}",intermediate,english,/ˈɒdəsi/,true,,2026-05-22 03:33:12.577912+00,2026-05-22 03:33:12.577912+00,
97333c3d-c2fc-4ae3-88d0-9430338b6215,pronunciation,Dungeon,Dungeon,,,1,Mazmorra,,"{vocabulary,rpg}",beginner,english,/ˈdʌndʒən/,true,,2026-05-22 03:33:12.580244+00,2026-05-22 03:33:12.580244+00,
1ab2ade4-5c2c-4a70-b59b-424843d7f291,pronunciation,Welcome to the game,Welcome to the game,,,1,Bienvenido al juego,,"{phrases,greetings}",beginner,english,/ˈwelkəm tu ðə ɡeɪm/,true,,2026-05-22 03:33:12.582693+00,2026-05-22 03:33:12.582693+00,
23e74558-0840-4606-b696-0561c921ec79,vocabulary,Which item is usually found in a dungeon?,Treasure Chest,Modern Car,Office Chair,1,Los cofres de tesoro (Treasure Chests) son clásicos en las mazmorras de RPG.,¿Qué objeto se encuentra usualmente en una mazmorra?,"{vocabulary,rpg}",beginner,english,,false,,2026-05-22 03:33:12.585233+00,2026-05-22 03:33:12.585233+00,
3326db3e-d86b-44a8-bffc-246aa6a43ca7,grammar,I _____ a brave warrior.,am,is,are,1,"Se usa 'am' con el pronombre 'I' (Verb to be).",Yo _____ un guerrero valiente.,"{grammar,basics}",beginner,english,,false,,2026-05-22 03:33:12.587722+00,2026-05-22 03:33:12.587722+00,
ab68ebce-4a3b-4ed1-a443-5f44171f1e5c,vocabulary,"Don't _____ — keep going!",give up,look up,show up,1,"'Give up' = rendirse. Toro siempre quiere hacerlo; Freshpudder no lo deja.",No te _____ — ¡sigue adelante!,"{phrasal-verb,up}",beginner,english,,false,,2026-06-23 00:11:39.339545+00,2026-06-23 00:11:39.339545+00,
87356e07-6183-452e-a4e3-928aa5736ad9,vocabulary,"I don't know that word, let me _____ it _____.",wake up,look it up,end up,2,"'Look up' = buscar (en un diccionario), no mirar hacia arriba.","No sé esa palabra, déjame _____.","{phrasal-verb,up}",beginner,english,,false,,2026-06-23 00:11:39.859091+00,2026-06-23 00:11:39.859091+00,
bc893b99-047d-45c4-aa17-f4e90b29fd93,vocabulary,Mochi never _____ on time.,shows up,gives up,looks up,1,"'Show up' = aparecer / llegar.",Mochi nunca _____ a tiempo.,"{phrasal-verb,up}",beginner,english,,false,,2026-06-23 00:11:40.269953+00,2026-06-23 00:11:40.269953+00,
73fe6566-fa71-4122-bc25-6281fa0f98fb,vocabulary,"It's late — time to _____!",end up,wake up,look up,2,"'Wake up' = despertarse. (Y 'awake' = despierto, no 'woken up'.)",Es tarde — ¡hora de _____!,"{phrasal-verb,up}",beginner,english,,false,,2026-06-23 00:11:40.684904+00,2026-06-23 00:11:40.684904+00,
bfaa9959-eeaf-47c9-8989-611f932b47c8,vocabulary,We always _____ lost.,end up,give up,show up,1,"'End up' = terminar siendo / acabar en algún lugar.",Siempre _____ perdidos.,"{phrasal-verb,up}",intermediate,english,,false,,2026-06-23 00:11:41.095922+00,2026-06-23 00:11:41.095922+00,
9b8d3b34-11e1-4df6-b5d3-5971e5b0cb13,vocabulary,"I just _____ that 'actually' isn't 'actualmente'!",found out,ran out,worked out,1,"'Find out' = descubrir / enterarse.","¡Acabo de _____ que 'actually' no es 'actualmente'!","{phrasal-verb,out}",intermediate,english,,false,,2026-06-23 00:11:41.511791+00,2026-06-23 00:11:41.511791+00,
ec613b2b-aff3-4676-af7e-76ca2c198926,vocabulary,We _____ snacks!,figured out,ran out of,freaked out,2,"'Run out of' = quedarse sin algo.",¡Nos _____ snacks!,"{phrasal-verb,out}",intermediate,english,,false,,2026-06-23 00:11:41.922004+00,2026-06-23 00:11:41.922004+00,
55c8210c-28ae-4c1b-b5a3-458d88e0b4e8,vocabulary,"I can't _____ phrasal verbs!",figure out,hang out,work out,1,"'Figure out' = descifrar / entender.",¡No puedo _____ los phrasal verbs!,"{phrasal-verb,out}",intermediate,english,,false,,2026-06-23 00:11:42.334062+00,2026-06-23 00:11:42.334062+00,
611d00d8-8275-4b11-9aa3-f2eb0759511e,vocabulary,"Don't _____ — I haven't finished the sentence!",hang out,freak out,find out,2,"'Freak out' = perder la cabeza / asustarse. El deporte favorito de Toro.",No te _____ — ¡no terminé la frase!,"{phrasal-verb,out}",intermediate,english,,false,,2026-06-23 00:11:42.742207+00,2026-06-23 00:11:42.742207+00,
a75853bd-17b4-403b-ac41-386a3202b014,vocabulary,Would you like to _____ this weekend?,hang out,run out,freak out,1,"'Hang out' = pasar el rato. No es colgarse de nada, Freshpudder.",¿Te gustaría _____ este fin de semana?,"{phrasal-verb,out}",intermediate,english,,false,,2026-06-23 00:11:43.205388+00,2026-06-23 00:11:43.205388+00,
149f0186-4f4f-46d1-927d-fc644cb36342,vocabulary,"Toro, please _____!",let down,calm down,break down,2,"'Calm down' = calmarse. 'THIS IS MY CALM FACE.'","Toro, por favor _____!","{phrasal-verb,down}",beginner,english,,false,,2026-06-23 00:11:43.617047+00,2026-06-23 00:11:43.617047+00,
8cf25983-fe81-459c-8701-eb17e2d76fef,vocabulary,"You _____ me _____ when you said 'I am agree'.",let / down,write / down,cut / down,1,"'Let down' = decepcionar.","Me _____ cuando dijiste 'I am agree'.","{phrasal-verb,down}",intermediate,english,,false,,2026-06-23 00:11:44.02667+00,2026-06-23 00:11:44.02667+00,
6ddd1024-5df6-48e0-9cad-bac911e0d23a,vocabulary,_____ the new words in your notebook.,Slow down,Write down,Break down,2,"'Write down' = anotar. En el cuaderno, no en el suelo.",_____ las palabras nuevas en tu cuaderno.,"{phrasal-verb,down}",beginner,english,,false,,2026-06-23 00:11:44.433908+00,2026-06-23 00:11:44.433908+00,
6973b9bd-0ee6-4642-99af-9a4e162e115b,vocabulary,"You're talking too fast — _____!",slow down,let down,write down,1,"'Slow down' = bajar la velocidad / calmarse.",Hablas muy rápido — ¡_____!,"{phrasal-verb,down}",beginner,english,,false,,2026-06-23 00:11:44.850033+00,2026-06-23 00:11:44.850033+00,
f2a4353c-731d-44c5-bb9f-1556d938023c,vocabulary,"I'm trying to _____ on drama.",break down,cut down,calm down,2,"'Cut down (on)' = reducir. Protto empieza... la próxima semana.",Estoy intentando _____ el drama.,"{phrasal-verb,down}",intermediate,english,,false,,2026-06-23 00:11:45.261382+00,2026-06-23 00:11:45.261382+00,
8ea0025c-1b2a-47ff-a509-b584a90396ed,vocabulary,"It's over. Just _____.",hold on,move on,go on,2,"'Move on' = seguir adelante / pasar página.",Se acabó. Solo _____.,"{phrasal-verb,on}",intermediate,english,,false,,2026-06-23 00:11:45.669652+00,2026-06-23 00:11:45.669652+00,
b3495b3a-d3b9-4fdc-872c-5d78d2d817ed,vocabulary,"_____ a second, I'm not ready!",Hold on,Take off,Get off,1,"'Hold on' = espera. No te agarres a la pared, Toro.","_____ un segundo, ¡no estoy listo!","{phrasal-verb,on}",beginner,english,,false,,2026-06-23 00:11:46.077119+00,2026-06-23 00:11:46.077119+00,
9671d78b-9399-478c-b7af-0faef1b427b1,vocabulary,"That's interesting — _____!",go on,turn off,get off,1,"'Go on' = continúa / sigue hablando.",Qué interesante — ¡_____!,"{phrasal-verb,on}",beginner,english,,false,,2026-06-23 00:11:46.486774+00,2026-06-23 00:11:46.486774+00,
7a8a3852-37f4-4b18-88eb-006c04fbc9b2,vocabulary,Please _____ your phone during the lesson.,take off,turn off,move on,2,"'Turn off' = apagar. Solo el teléfono, Freshpudder, no las luces.",Por favor _____ el teléfono durante la clase.,"{phrasal-verb,off}",beginner,english,,false,,2026-06-23 00:11:46.895713+00,2026-06-23 00:11:46.895713+00,
e93f2118-35fc-46e5-8d17-0650bd994285,vocabulary,The plane is about to _____.,take off,get off,hold on,1,"'Take off' = despegar (o quitarse ropa). No, no estamos volando aún.",El avión está a punto de _____.,"{phrasal-verb,off}",intermediate,english,,false,,2026-06-23 00:11:47.304848+00,2026-06-23 00:11:47.304848+00,
09eb74a5-a9a4-4e8c-80b8-162f372024e2,vocabulary,_____ your phone and pay attention!,Get off,Turn off,Take off,1,"'Get off' = bajarse de / dejar de usar.",_____ del teléfono y ¡presta atención!,"{phrasal-verb,off}",intermediate,english,,false,,2026-06-23 00:11:47.716871+00,2026-06-23 00:11:47.716871+00,
a588d052-9d9b-4bfe-9f51-e2e8ae1c529b,vocabulary,"Fine, FINE, I _____!",check in,give in,fit in,2,"'Give in' = ceder / rendirse ante la presión. Tardó 8 segundos.","Bien, ¡BIEN, _____!","{phrasal-verb,in}",intermediate,english,,false,,2026-06-23 00:11:48.126578+00,2026-06-23 00:11:48.126578+00,
0f0d4469-b527-4208-af9c-af22fbfffe64,vocabulary,Let me _____ at the hotel first.,check in,fit in,run into,1,"'Check in' = registrarse (también: ver cómo está alguien).",Déjame _____ en el hotel primero.,"{phrasal-verb,in}",intermediate,english,,false,,2026-06-23 00:11:48.532925+00,2026-06-23 00:11:48.532925+00,
bf6b7c0c-099b-4460-ad9d-6a7c2da7e736,vocabulary,"I don't _____ with this group.",fit in,give in,look into,1,"'Fit in' = encajar.",No _____ con este grupo.,"{phrasal-verb,in}",intermediate,english,,false,,2026-06-23 00:11:48.944905+00,2026-06-23 00:11:48.944905+00,
11068dd7-c13e-4bbc-82ad-6491dcdf0e25,vocabulary,I _____ Lyra at the market today!,looked into,ran into,turned into,2,"'Run into' = encontrarse por casualidad. No fue un accidente, Freshpudder.",¡Me _____ a Lyra en el mercado hoy!,"{phrasal-verb,into}",intermediate,english,,false,,2026-06-23 00:11:49.3565+00,2026-06-23 00:11:49.3565+00,
344861b1-36c5-4e29-b9a2-cc88c68185b7,vocabulary,"I'll _____ it and get back to you.",look into,run into,turn into,1,"'Look into' = investigar. No mires DENTRO de la caja, Toro.",Lo _____ y te aviso.,"{phrasal-verb,into}",intermediate,english,,false,,2026-06-23 00:11:49.762503+00,2026-06-23 00:11:49.762503+00,
ddbf5d9e-f634-4ee0-9fca-cbe89be07b29,vocabulary,Practice will _____ you _____ a confident speaker.,run / into,turn / into,look / into,2,"'Turn into' = convertirse en.",La práctica te _____ en alguien que habla con confianza.,"{phrasal-verb,into}",intermediate,english,,false,,2026-06-23 00:11:50.171121+00,2026-06-23 00:11:50.171121+00,
